ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.002313,16.879492,4.061352,1.607086,71819743641.38,-0.00775,3e-05
0.00137,16.949274,4.078142,1.61373,72116655764.84,0.00413,2.9e-05
0.003584,17.406734,4.188211,1.657284,74063079685.3,0.02699,3e-05
0.000594,17.37572,4.180749,1.654331,73931118741.54,-0.00178,2.8e-05
0.001147,17.290431,4.160228,1.646211,73568226146.2,-0.00491,2.8e-05
0.003332,17.910715,4.309474,1.705268,76207445021.4,0.03587,2.8e-05
0.004783,17.538544,4.219926,1.669834,74623913696.28,-0.02078,2.9e-05
0.001176,17.608327,4.236716,1.676478,74920825819.74,0.00398,1.2e-05
0.002431,17.453255,4.199405,1.661714,74261021100.94,-0.00881,1.8e-05
0.008852,17.05007,4.102395,1.623327,72545528832.06,-0.0231,4.2e-05
0,17.05007,4.102395,1.623327,72545528832.06,0,3.1e-05
0.000527,17.065578,4.106126,1.624803,72611509303.94,0.00091,2.6e-05
0.004346,16.926014,4.072546,1.611515,72017685057.02,-0.00818,2.9e-05
0.00141,16.972535,4.083739,1.615944,72215626472.66,0.00275,2.7e-05
0.011869,16.484061,3.966208,1.569437,70137241608.44,-0.02878,3.8e-05
0.00608,16.282468,3.917703,1.550244,69279495474,-0.01223,4.1e-05
0.0072,16.057615,3.863602,1.528835,68322778631.74,-0.01381,4.4e-05
0.003184,15.972326,3.84308,1.520715,67959886036.4,-0.00531,4.3e-05
0.006154,16.080876,3.869198,1.53105,68421749339.56,0.0068,4.4e-05
0.00876,16.344497,3.932628,1.556149,69543417361.52,0.01639,4.8e-05
0.008225,16.204933,3.899047,1.542862,68949593114.6,-0.00854,5e-05
0.000909,16.181672,3.893451,1.540647,68850622406.78,-0.00144,4.7e-05
0.002317,16.150658,3.885988,1.537694,68718661463.02,-0.00192,4.6e-05
0.009561,15.956819,3.839349,1.519239,67893905564.52,-0.012,4.9e-05
0.003131,15.887037,3.822559,1.512595,67596993441.06,-0.00437,4.8e-05
0.003954,15.949065,3.837484,1.518501,67860915328.58,0.0039,4.7e-05
0.008622,15.809501,3.803903,1.505213,67267091081.66,-0.00875,4.9e-05
0.009855,16.034355,3.858005,1.526621,68223807923.92,0.01422,5.2e-05
0.008367,16.228193,3.904644,1.545076,69048563822.42,0.01209,5.3e-05
0.004113,15.759777,4.607065,1.339083,69411456417.76,0.00526,4.1e-05
0.00193,15.714835,4.593927,1.335264,69213515002.12,-0.00285,3e-05
0.006382,15.61746,4.565462,1.326991,68784641934.9,-0.0062,4.1e-05
0.008558,15.415219,4.506341,1.309807,67893905564.52,-0.01295,5.2e-05
0.001779,15.43769,4.51291,1.311716,67992876272.34,0.00146,4.6e-05
0.00847,15.63244,4.569841,1.328263,68850622406.78,0.01262,5.2e-05
0.00394,15.557536,4.547944,1.321899,68520720047.38,-0.00479,5e-05
0.009729,15.400238,4.501961,1.308534,67827925092.64,-0.01011,5.6e-05
0.00988,15.190507,4.44065,1.290713,66904198486.32,-0.01362,6.1e-05
0.00324,15.138075,4.425323,1.286258,66673266834.74,-0.00345,5.8e-05
0.009036,15.257921,4.460358,1.296441,67201110609.78,0.00792,6.1e-05
0.012183,15.722325,4.596117,1.335901,69246505238.06,0.03044,6.6e-05
0.003945,15.654912,4.57641,1.330173,68949593114.6,-0.00429,6.4e-05
0.007184,15.804719,4.620203,1.342902,69609397833.4,0.00957,6.5e-05
0.004059,15.917075,4.653048,1.352448,70104251372.5,0.00711,6.3e-05
0.007717,16.2092,4.738446,1.37727,71390870574.16,0.01835,6.4e-05
0.000781,16.194219,4.734066,1.375997,71324890102.28,-0.00092,6.1e-05
0.004929,16.029431,4.685893,1.361995,70599104911.6,-0.01018,6e-05
0.012834,15.872133,4.63991,1.34863,69906309956.86,-0.00981,0.000128
0.000451,15.879623,4.6421,1.349266,69939300192.8,0.00047,6.6e-05
0.002872,15.917075,4.653048,1.352448,70104251372.5,0.00236,5.4e-05
0.004178,15.976998,4.670566,1.35754,70368173260.02,0.00376,5.1e-05
0.003046,15.909585,4.650859,1.351812,70071261136.56,-0.00422,4.7e-05
0.002465,15.947037,4.661807,1.354994,70236212316.26,0.00235,4.3e-05
0.00674,16.126806,4.714359,1.370269,71027977978.82,0.01127,4.7e-05
0.003378,16.239162,4.747204,1.379816,71522831517.92,0.00697,4.5e-05
0.004767,16.096844,4.705601,1.367723,70896017035.06,-0.00876,4.5e-05
0.000432,16.104335,4.70779,1.36836,70929007271,0.00047,4.1e-05
0.000404,16.111825,4.70998,1.368996,70961997506.94,0.00047,3.8e-05
0.006844,16.478854,4.817274,1.400182,72578519068,0.02278,4e-05
0.000926,16.448893,4.808515,1.397636,72446558124.24,-0.00182,3.8e-05
0,16.448893,4.808515,1.397636,72446558124.24,0,3.5e-05
0.002641,16.523797,4.830412,1.404001,72776460483.64,0.00455,3.5e-05
0.005099,16.418931,4.799756,1.39509,72314597180.48,-0.00635,3.6e-05
0.010324,16.119316,4.71217,1.369632,70994987742.88,-0.01825,4e-05
0.001959,16.081864,4.701221,1.36645,70830036563.18,-0.00232,3.9e-05
0.001282,16.111825,4.70998,1.368996,70961997506.94,0.00186,1.3e-05
0.003676,15.991979,4.674945,1.358813,70434153731.9,-0.00744,2.5e-05
0.002097,15.954527,4.663997,1.355631,70269202552.2,-0.00234,2.4e-05
0.001573,15.909585,4.650859,1.351812,70071261136.56,-0.00282,2.2e-05
0.007457,16.111825,4.70998,1.368996,70961997506.94,0.01271,3.2e-05
0.003936,16.029431,4.685893,1.361995,70599104911.6,-0.00511,3.3e-05
0,16.029431,4.685893,1.361995,70599104911.6,0,2.9e-05
0,16.029431,4.685893,1.361995,70599104911.6,0,2.5e-05
0.006829,16.321556,4.771291,1.386817,71885724113.26,0.01822,3e-05
0.000315,16.329046,4.77348,1.387453,71918714349.2,0.00046,2.7e-05
